Lulu's Lucky Egg,luckyegg
Magical Inferno,inferno
Magical Massacre,saturiku
Magical Revenge,mrevenge
"Manager, I Could Use Some Help!",managerhelp
Melting Memories,melting
Miracle Red Bean Ice Cream,mribic
Miracle Walker,miraclewalker
New Nobility,newnobility
Observer of Eternity,observer
Overseer,ruler
Plushie Master,dancea
Present for You,present
Protagonist's Privilege,syuyaku
Raging Madness,rmadness
Rbit Hobby Shop,hobbyshop
Reflective Shell,reflective
Reproduction of Records,ssmemory
Revival of Stars,revivalos
Rival,rival
Rocket Cannon,rocket
Safe Journey,safejourney
Saint Eyes,saint
Santa's Job,santajob
Self-Destruct,selfd
Solid Witch,heavywitch
Special Stage,specialstage
Star Blasting Fuse,starbfuse
Star Collector,sutakorekuta
Stealth On,stealth
Subspace Tunnel,stunnel
Sweet Guardian,sweet
True White Christsmasher,truechristsmasher
Turbo Charged,turbo
Twilight-Colored Dream,twilight
Ubiquitous,shinsyutu
Upshift,upshift
"Waruda Machine, Blast Off!",warudamachine
Whimsical Windmill,whim
White Christsmasher,christsmasher
Witch's Hair Lock,hairlock
x16 Big Rocket,bigrocket
Zealous Salesman,zsalesman
Adventurer's Radar,bty_item_radar
Fluffy Shokupan,bty_item_fshokupan
Holy Water,bty_item_holywater
Lure,bty_item_lurebomb
Shokupan,bty_item_shokupan
Slimebomb,bty_item_slimebomb
Smoke of the Lost Memories,bty_item_smokelostmemories
Teleportation Potion,bty_item_teleport
Assault Field,coop_robo_assaultfield
Attack Down,coop_robo_attackdown
Balance Currents,coop_robo_balancecurrents
Defense Down,coop_robo_defensedown
EMP,coop_robo_emp
Engage,coop_robo_engage
Evasion Down,coop_robo_evasiondown
Health Down,coop_robo_healthdown
Imaginary Numbers,coop_robo_imaginarynumbers
Immovable Object,coop_robo_immovableobject
Malfunction,coop_robo_malfunction
Perfect Reflective Shell,coop_robo_perfectreflective
Protect,coop_robo_protect
Quick Repair,coop_robo_quickrepair
Recovery Mode,coop_robo_recoverymode
Robo Beam,coop_robo_extendedphotonrifle
Scrambled Delta Field,coop_robo_deltafield
Self Destruction,coop_robo_selfdestruction
Solid Witch (Binder only),coop_robo_solidwitch
Turbo,coop_robo_turbo
Blue Mushroom,blueshroom
Brown Mushroom,brownshroom
Green Mushroom,greenshroom
Grown-up Snowball Fight,xmas2018_offense
Legendary Red Mushroom,legendaryredshroom
Orange Mushroom,orangeshroom
Phantom Blue Mushroom,phantomblueshroom
Pink Mushroom,pinkshroom
Purple Mushroom,purpleshroom
Rainbow Mushroom,rainbowshroom
Red Mushroom,redshroom
Snowball Reflector,xmas2018_defense
Sweet Battle!,vday18_
White Mushroom,whiteshroom
Yellow Mushroom,yellowshroom
Accel Hyper,accelhyper
Accelerating Sky,accelsky
Ambush,ambush
Assault,assault
Backdoor Trade,backdoortrade
Bad Pudding,dainashi
BanaNana,bananana
Big Magnum,magnum
Bloodlust,bloodlust
Brutal Prank,brutalprank
Cloud of Seagulls,taigun
Completion Reward,completionreward
Dangerous Pudding,danger
Dark Side of Business,darkside
Dash!,dash
Deceptive Disarming,ddisarming
Desperate Modification,desperate
Dinner,dinner
Encore,encore
Exchange,torikae
Extend,extend
Extension,extension
Final Battle,lstbtl
Flamethrower,flame
Flip Out,yatuatari
For the Future of the Toy Store,omochaya
Forced Revival,sosei
Gentleman's Battle,gentlemansbattle
Gift Exchange,prchange
Go Away,tondeke
Heat 300%,heat300
Here and There,acchi
Holy Night,holy
Home Improvement,himprovement
I Wanna See You,iwannaseeyou
I'm on Fire!,moeruyo
Indiscriminate Fire Support,firesupport
Invasion,syuurai
Little War,littlewar
Lonely Chariot,chariot
Long-Distance Shot,enkyori
Lost Child,lostchild
Lucky Charm,luckycharm
Lucky Sevens,lsevens
Metallic Monocoque,monocoque
Mimic,mimic
Mimyuu's Hammer,hammer
Mix Phenomenon,mixpheno
Nice Jingle,sutekija
Nice Present,xms
Oh My Friend,myfriend
Out of Ammo,tamagire
Overtime,ohours
Party Time,party
Passionate Research,research
Path Blockers,pathblockers
Pet Snacks,psnacks
Piggy Bank,chokin
Piyopiyo Procession,piyopiyo
Play of the Gods,playofthegods
Poppo the Snatcher,popposnatcher
Poppoformation,poppotransformation
Portable Pudding,portablepudding
Present Thief,presentthief
President's Privilege,prespriv
Price of Power,price
Princess's Privilege,tokken
Pudding,pudding
Quick Restoration,quickrestoration
Rainbow-Colored Circle,niziwa
Rbits,usabit
Reverse Attribute Field,hanten
Saki's Cookie,cookie
Scary Solicitation,solici
Scrambled Eve,scrambledeve
Sealed Guardian,huuin
Sealed Memories,memseal
Serene Hush,serenehush
Serious Battle,seriousbattle
Shield Counter,shieldinv
Shield,shield
Sink or Swim,sinkorswim
Sky Restaurant 'Pures',pures
Star-Blasting Light,starblazinglight
Stiff Crystal,kessyou
Super All-Out Mode,honki
Sweet Destroyer,sweetdestroyer
Tactical Retreat,tactretr
Tragedy in the Dead of Night,mayonaka
Treasure Thief,treasurethief
Unlucky Charm,unluckycharm
Unpaid Work,unpaidwork
Wanted,wanted
We Are Waruda,waruda
Windy Enchantment,windyenchantment
Balance Currency,coop_ropochi_balancecurrency
Beak of the Demi-Bird,coop_ropochi_beakofdemibird
Big Po's Special,coop_ropochi_bigpospecial
Catcher,coop_ropochi_catcher
Delusional Numbers,coop_ropochi_delusionalnumbers
Identity Crisis,coop_ropochi_identitycrisis
Pluck,coop_ropochi_pluck
Po-Bomber / Invisible Bomb,coop_ropochi_po-bomber
Po-tect,coop_ropochi_potect
Poppo March,coop_ropochi_poppomarch
Poppo Universe,coop_ropochi_poppouniverse
Poppocare,coop_ropochi_poppocare
Premium Regeneration,coop_ropochi_premiumregen
Refined Talons,coop_ropochi_refinedtalons
Robo Tax,coop_ropochi_robotax
Roost Boost,coop_ropochi_roostboost
RoPo Barrage,coop_ropochi_ropobarrage
Second Wing,coop_ropochi_secondwing
Sky Restaurant 'Poppo',coop_ropochi_skyrespoppo
Turbo Chicken,coop_ropochi_turbochicken
Wireless Chicken,coop_ropochi_wirelesschicken
Death and Taxes,coop_poppo_deathandtaxes
Elusive,coop_poppo_elusive
Greed,coop_poppo_greed
Highway Robbery,coop_poppo_highwayrobbery
Nap,coop_poppo_nap
Poppo Galaxy,coop_poppo_poppogalaxy
Poppo Tax,coop_poppo_poppotax
Poppocalypse,coop_poppo_poppocalypse
Poppoformation,coop_poppo_poppoformation
Ransom Note,coop_poppo_ransomnote
Sky Restaurant 'Poppo',coop_poppo_skyrespoppo
Snatcher,coop_poppo_snatcher
Star Mania,coop_poppo_starmania
Temptation,coop_poppo_temptation
Tithe,coop_poppo_tithe
Ubiquitous,coop_poppo_ubiquitous
Value Judgment,coop_poppo_valuejudgment
Warp Phenomenon,coop_poppo_warpphenomenon
Birds,coop_sbeast_birds
Chase,coop_sbeast_dash
Exhaustion,coop_sbeast_exhaustion
Hide And Seek,coop_sbeast_hideandseek
Hype It Up,coop_sbeast_hypeitup
Hype Mode,coop_sbeast_hypemode
Play Tag,coop_sbeast_playtag
Play With Birds,coop_sbeast_playwithbirds
Play,coop_sbeast_play
Psyched Up,coop_sbeast_psychedup
Pudding Break,coop_sbeast_puddingbreak
Pudding Seeker,coop_sbeast_puddingseeker
Rampage (Hyper),coop_sbeast_rampagehyper
Rampage,coop_sbeast_rampage
Rest,coop_sbeast_rest
Sandwich Thieves,coop_sbeast_sandwichthieves
Seagull Friend / Dance of the Seagulls,coop_sbeast_seagullfriend
Seagull Master,coop_sbeast_seagullmaster
Splash Water,coop_sbeast_splashwater
Tire Out,coop_sbeast_tireout
Watermelon Splitting,coop_sbeast_watermelonsplitting
Goodest Boy,goodestboy
Torrent of Magic,torrentofmagic
Sweet Paradise,sweetparadise
Sweet Indulgence,sweetparadiseb
Sweet Paradise,sweetparadisec
Sweet Maker's Magic,sweetmakermagic
Operation: A Mountain of Sweets,operationssweets
When My Slumber Breaks,slumberb
Threats to My Slumber,slumbera
Make-Believe Prison Break,prisonbreak
Mother Power,poppomama
Lulu is an Unlucky Dragon,luludark
Ellie's Hyper Miracle,hmiracle
Ex-Protagonist's Moment of Glory,moglory
All Guns at the Ready,gunsready
Heart of Resistance,resistance
Bank of Poppo,bankofpoppo
Contest of Cuteness,contestofcuteness
My Wild Friends,mywildfriends
Nanako's Bit,nanakobit
Rebellion,rebellion
Warp Control,warpcontrol
